ticker,shortName,type,minTradeQuantity,currencyCode
AEHR_US_EQ,AEHR,STOCK,0.2,USD
LTHM_US_EQ,ALTM,STOCK,0.15,USD
CTRA_US_EQ,AMR,STOCK,0.1,USD
ATAT_US_EQ,ATAT,STOCK,0.1,USD
BIDU_US_EQ,BIDU,STOCK,0.001,USD
BOWLl_EQ,BOWL,STOCK,0.1,GBX
HYAC3_US_EQ,BTMD,STOCK,0.1,USD
DQ_US_EQ,DQ,STOCK,0.03,USD
EPM_US_EQ,EPM,STOCK,0.1,USD
GCT_US_EQ,GCT,STOCK,0.1,USD
GOGO_US_EQ,GOGO,STOCK,0.2,USD
GPRK_US_EQ,GPRK,STOCK,0.1,USD
HGBL_US_EQ,HGBL,STOCK,0.25,USD
IBTAl_EQ,IBTA,ETF,0.1,USD
JAZZ_US_EQ,JAZZ,STOCK,0.01,USD
KSPI_US_EQ,KSPI,STOCK,0.01,USD
MNSO_US_EQ,MNSO,STOCK,0.01,USD
NHYDY_US_EQ,NHYDY,STOCK,0.1,USD
PAX_US_EQ,PAX,STOCK,0.1,USD
PDD_US_EQ,PDD,STOCK,0.01,USD
PLX_US_EQ,PLX,STOCK,1.0,USD
PTALF_US_EQ,PTALF,STOCK,1.0,USD
QSR_US_EQ,QSR,STOCK,0.01,USD
RPRX_US_EQ,RPRX,STOCK,0.01,USD
SCYX_US_EQ,SCYX,STOCK,0.1,USD
SD_US_EQ,SD,STOCK,0.55,USD
SHLS_US_EQ,SHLS,STOCK,0.01,USD
SQM_US_EQ,SQM,STOCK,0.03,USD
TCOM_US_EQ,TCOM,STOCK,0.01,USD
TRX_US_EQ,TRX,STOCK,1.0,USD
VRNOF_US_EQ,VRNOF,STOCK,0.1,USD
VYGR_US_EQ,VYGR,STOCK,0.1,USD
